Period,Funds,Avg Drift %,Max Drift %
2015-09-30,6,11.18,14.82
2015-12-31,192,21.35,200.0
2016-03-31,22,12.92,25.85
2016-06-30,27,11.21,17.98
2016-09-30,109,15.49,163.84
2016-12-31,215,16.15,162.66
2017-12-31,215,13.28,164.08
2018-03-31,216,14.24,163.86
2018-06-30,227,15.06,200.0
2018-09-30,230,17.62,200.0
2018-12-31,227,17.93,200.0
2019-03-31,225,15.42,200.0
2019-06-30,227,16.18,200.0
2019-12-31,245,16.2,200.0
2020-03-31,238,17.02,180.4
2020-06-30,254,15.48,203.92
2020-09-30,260,14.64,200.0
2020-12-31,286,15.14,200.9
2021-03-31,288,15.53,300.0
2021-09-30,970,77.14,9937.96
2021-12-31,308,13.9,163.96
2022-03-31,313,13.66,158.18
2022-12-31,334,88.78,200.0
