Period,Funds,Avg Fee %,Median Fee %
2015-09-30,7,0.736,0.81
2015-12-31,478,1.143,1.25
2016-03-31,25,0.889,0.91
2016-06-30,31,0.894,0.91
2016-09-30,128,1.068,1.11
2016-12-31,240,0.978,0.955
2017-12-31,243,1.016,1.03
2018-03-31,244,1.02,1.03
2018-06-30,252,1.021,1.01
2018-09-30,255,1.015,1.01
2018-12-31,254,1.013,1.01
2019-03-31,250,0.984,1.005
2019-06-30,252,0.943,0.955
2019-12-31,260,0.939,0.95
2020-03-31,254,0.929,0.935
2020-06-30,270,0.935,0.95
2020-09-30,278,0.924,0.945
2020-12-31,305,0.93,0.95
2021-03-31,304,0.961,0.95
2021-09-30,1046,1.334,1.015
2021-12-31,331,0.971,0.95
2022-03-31,333,0.928,0.95
2022-12-31,340,0.856,0.9
