quarter,category,return_1yr,assets_m
2010-06-30,Conservative,7.27,2400.3
2010-06-30,Moderate,9.57,655.6
2010-06-30,Balanced,9.64,1076.1
2010-06-30,Growth,10.16,953.2
2010-06-30,Aggressive,10.67,332.3
2010-12-31,Conservative,5.63,2987.0
2010-12-31,Moderate,6.06,937.6
2010-12-31,Balanced,6.01,1264.4
2010-12-31,Growth,6.19,1199.7
2010-12-31,Aggressive,6.25,475.4
2011-03-31,Conservative,5.4,3198.8
2011-03-31,Moderate,6.03,1047.7
2011-03-31,Balanced,6.04,1412.5
2011-03-31,Growth,6.91,1329.1
2011-03-31,Aggressive,6.78,524.8
2011-06-30,Conservative,6.64,3452.3
2011-06-30,Moderate,8.65,1065.3
2011-06-30,Balanced,9.78,1470.8
2011-06-30,Growth,12.19,1320.2
2011-06-30,Aggressive,11.98,637.0
2011-09-30,Conservative,3.34,3921.4
2011-09-30,Moderate,2.62,1239.3
2011-09-30,Balanced,0.66,1622.9
2011-09-30,Growth,-0.2,1401.2
2011-09-30,Aggressive,-3.49,659.6
2011-12-31,Conservative,4.3,4168.8
2011-12-31,Moderate,3.6,1358.7
2011-12-31,Balanced,3.4,1478.3
2011-12-31,Growth,-0.4,1805.1
2011-12-31,Aggressive,-4.8,694.9
2012-03-31,Conservative,5.0,4417.3
2012-03-31,Moderate,4.9,1532.3
2012-03-31,Balanced,2.8,1632.0
2012-03-31,Growth,2.1,2039.1
2012-03-31,Aggressive,-2.1,757.2
2012-06-30,Conservative,4.8,4574.4
2012-06-30,Moderate,4.4,1622.5
2012-06-30,Balanced,2.0,1670.1
2012-06-30,Growth,0.7,2084.6
2012-06-30,Aggressive,-2.7,767.5
2012-09-30,Conservative,7.8,4975.9
2012-09-30,Moderate,9.6,1830.0
2012-09-30,Balanced,11.6,2223.8
2012-09-30,Growth,13.1,2028.5
2012-09-30,Aggressive,12.6,851.9
2012-12-31,Conservative,7.9,5142.3
2012-12-31,Moderate,9.7,1979.1
2012-12-31,Balanced,12.4,2380.5
2012-12-31,Growth,14.0,2193.6
2012-12-31,Aggressive,13.8,901.6
2013-03-31,Conservative,7.9,5331.2
2013-03-31,Moderate,9.5,2121.4
2013-03-31,Balanced,12.0,2563.5
2013-03-31,Growth,13.4,2378.7
2013-03-31,Aggressive,12.7,970.6
2013-06-30,Conservative,7.1,5431.7
2013-06-30,Moderate,9.2,2236.3
2013-06-30,Balanced,14.0,2716.9
2013-06-30,Growth,16.8,2645.9
2013-06-30,Aggressive,18.7,958.4
2013-09-30,Conservative,6.1,5769.3
2013-09-30,Moderate,7.2,2466.0
2013-09-30,Balanced,11.9,3021.7
2013-09-30,Growth,14.5,2977.3
2013-09-30,Aggressive,17.1,1032.3
